1|58
1|77
1|81
1|89
1|99
1|100
1|190
1|14
1|25
1|49
1|189
1|2660
2|488
2|46
2|40
2|5
2|494
2|95
2|80
2|55
2|69
2|481
2|484
2|486
2|489
2|490
2|93
2|621
2|2738
2|2739
2|2830
2|2831
3|79
3|43
3|20
3|21
3|22
4|27
4|38
4|48
4|3
4|1
5|499
5|103
5|90
5|84
5|62
5|18
5|502
5|505
5|504
5|503
5|526
6|342
6|344
6|463
6|465
6|466
6|467
6|470
6|498
6|8
6|10
6|45
6|39
6|26
6|34
6|35
6|36
6|225
6|63
6|56
6|85
6|87
6|92
6|468
6|464
6|501
6|469
6|500
6|338
6|544
6|545
6|546
6|632
6|630
6|631
6|2748
6|2766
6|2770
6|2798
6|2834
6|2836
8|497
8|78
8|57
8|64
8|29
8|24
8|17
9|493
9|33
9|30
9|72
9|386
9|387
9|388
9|389
9|390
9|391
9|392
9|492
9|509
9|508
9|633
9|634
9|636
9|635
9|2825
9|2826
9|2828
9|2829
10|471
10|74
10|83
10|88
10|32
10|191
10|288
10|523
10|16
10|2685
10|2729
10|2789
10|2790
10|2791
10|31
10|60
10|2810
10|2811
11|4
11|19
11|51
11|71
11|75
12|61
12|65
12|66
12|308
12|378
12|97
12|379
12|311
12|312
12|41
12|42
12|37
12|9
12|15
12|6
12|7
12|365
12|366
12|101
13|59
13|11
13|28
13|47
13|2
13|98
13|68
14|94
14|86
14|384
14|380
14|52
14|50
14|381
14|309
14|44
14|73
14|96
14|2744
14|2746
14|2814
14|2815
15|12
15|13
15|82
16|291
16|292
16|293
16|294
16|295
16|296
16|297
16|298
16|461
16|282
16|152
16|283
16|284
16|285
16|286
16|290
16|289
17|113
17|114
17|115
17|116
17|117
17|118
17|119
17|120
17|121
17|122
17|123
17|124
17|125
17|126
17|127
17|128
17|129
17|130
17|131
17|110
17|111
17|112
17|106
17|107
17|108
17|109
18|232
18|233
18|275
18|276
18|277
18|278
18|279
18|2760
18|2761
18|2797
21|2647
21|2755
21|2756
21|2757
21|2758
21|2759
22|2682
22|2712
22|2752
22|2753
22|2754
22|2763
22|2764
22|2835
23|2714
23|2716
23|2718
23|2719
23|2720
23|2721
23|2722
23|2723
23|2724
