12|"December"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23401980"|"244707791"
4|"April"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23401980"|"244707790"
5|"May"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23401980"|"244707795"
3|"March"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23401980"|"244707794"
2|"February"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23401980"|"244707792"
1|"January"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23401980"|"244707793"
11|"November"|||"None"|||||||||||"23401980"|"244707801"
10|"October"|||"None"|||||||||||"23401980"|"244707800"
9|"September"|||"None"|||||||||||"23401980"|"244707799"
8|"August"|||"None"|||||||||||"23401980"|"244707798"
7|"July"|||"None"|||||||||||"23401980"|"244707797"
6|"June"|||"None"|||||||||||"23401980"|"244707796"
1|"January"||||||||||||||"23401981"|"244707806"
2|"February"||||||||||||||"23401981"|"244707805"
3|"March"||||||||||||||"23401981"|"244707809"
4|"April"||||||||||||||"23401981"|"244707802"
5|"May"||||||||||||||"23401981"|"244707810"
6|"June"||||||||||||||"23401981"|"244707808"
7|"July"||||||||||||||"23401981"|"244707807"
8|"August"||||||||||||||"23401981"|"244707803"
9|"September"||||||||||||||"23401981"|"244707813"
10|"October"||||||||||||||"23401981"|"244707812"
11|"November"||||||||||||||"23401981"|"244707811"
12|"December"||||||||||||||"23401981"|"244707804"
11|"November"|"None"||"None"|||||||||||"23402026"|"244708346"
12|"December"|"None"||"None"|||||||||||"23402026"|"244708344"
9|"September"|"None"||"None"|||||||||||"23402026"|"244708352"
10|"October"|"None"||"None"|||||||||||"23402026"|"244708353"
5|"May"|"None"||"None"|||||||||||"23402026"|"244708347"
7|"July"|"None"||"None"|||||||||||"23402026"|"244708351"
8|"August"|"None"||"None"|||||||||||"23402026"|"244708350"
6|"June"|"None"||"None"|||||||||||"23402026"|"244708343"
3|"March"|"None"||"None"|||||||||||"23402026"|"244708345"
4|"April"|"None"||"None"|||||||||||"23402026"|"244708342"
1|"January"|"None"||"None"|||||||||||"23402026"|"244708349"
2|"February"|"None"||"None"|||||||||||"23402026"|"244708348"
11|"November"|"None"||"None"|||||||||||"23402027"|"244708363"
