6|"June"||||||||||||||"21864878"|"228885218"
7|"July"||||||||||||||"21864878"|"228885223"
8|"August"||||||||||||||"21864878"|"228885226"
9|"September"||||||||||||||"21864878"|"228885219"
10|"October"||||||||||||||"21864878"|"228885225"
11|"November"||||||||||||||"21864878"|"228885217"
12|"December"||||||||||||||"21864878"|"228885224"
1|"January"||||||||||||||"21864878"|"228885227"
2|"February"||||||||||||||"21864878"|"228885220"
3|"March"||||||||||||||"21864878"|"228885228"
4|"April"||||||||||||||"21864878"|"228885221"
5|"May"||||||||||||||"21864878"|"228885222"
6|"June"||||||||||||||"21864879"|"228885235"
7|"July"||||||||||||||"21864879"|"228885234"
8|"August"||||||||||||||"21864879"|"228885230"
9|"September"||||||||||||||"21864879"|"228885240"
10|"October"||||||||||||||"21864879"|"228885239"
11|"November"||||||||||||||"21864879"|"228885238"
12|"December"||||||||||||||"21864879"|"228885231"
1|"January"||||||||||||||"21864879"|"228885233"
2|"February"||||||||||||||"21864879"|"228885232"
3|"March"||||||||||||||"21864879"|"228885236"
4|"April"||||||||||||||"21864879"|"228885229"
5|"May"||||||||||||||"21864879"|"228885237"
12|"December"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"21864880"|"228885243"
4|"April"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"21864880"|"228885241"
5|"May"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"21864880"|"228885249"
2|"February"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"21864880"|"228885244"
3|"March"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"21864880"|"228885248"
1|"January"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"21864880"|"228885245"
11|"November"|||"None"|||||||||||"21864880"|"228885250"
10|"October"|||"None"|||||||||||"21864880"|"228885251"
8|"August"|||"None"|||||||||||"21864880"|"228885242"
9|"September"|||"None"|||||||||||"21864880"|"228885252"
7|"July"|||"None"|||||||||||"21864880"|"228885246"
6|"June"|||"None"|||||||||||"21864880"|"228885247"
8|"August"|"None"||"None"|||||||||||"21864985"|"228886502"
7|"July"|"None"||"None"|||||||||||"21864985"|"228886506"
6|"June"|"None"||"None"|||||||||||"21864985"|"228886507"
5|"May"|"None"||"None"|||||||||||"21864985"|"228886509"
4|"April"|"None"||"None"|||||||||||"21864985"|"228886501"
3|"March"|"None"||"None"|||||||||||"21864985"|"228886508"
2|"February"|"None"||"None"|||||||||||"21864985"|"228886504"
1|"January"|"None"||"None"|||||||||||"21864985"|"228886505"
12|"December"|"None"||"None"|||||||||||"21864985"|"228886503"
11|"November"|"None"||"None"|||||||||||"21864985"|"228886510"
9|"September"|"None"||"None"|||||||||||"21864985"|"228886512"
10|"October"|"None"||"None"|||||||||||"21864985"|"228886511"
6|"June"||||||||||||||"21864986"|"228886519"
5|"May"||||||||||||||"21864986"|"228886521"
7|"July"||||||||||||||"21864986"|"228886518"
8|"August"||||||||||||||"21864986"|"228886514"
9|"September"||||||||||||||"21864986"|"228886524"
10|"October"||||||||||||||"21864986"|"228886523"
11|"November"||||||||||||||"21864986"|"228886522"
12|"December"||||||||||||||"21864986"|"228886515"
1|"January"||||||||||||||"21864986"|"228886517"
2|"February"||||||||||||||"21864986"|"228886516"
3|"March"||||||||||||||"21864986"|"228886520"
4|"April"||||||||||||||"21864986"|"228886513"
5|"May"|||"None"|||||||||||"21864881"|"228885258"
12|"December"|"Rare"|"Brief (2 to 7 days)"|"None"|||||||||||"21864881"|"228885254"
4|"April"|"Rare"|"Brief (2 to 7 days)"|"None"|||||||||||"21864881"|"228885253"
1|"January"|"Rare"|"Brief (2 to 7 days)"|"None"|||||||||||"21864881"|"228885256"
2|"February"|"Rare"|"Brief (2 to 7 days)"|"None"|||||||||||"21864881"|"228885255"
3|"March"|"Rare"|"Brief (2 to 7 days)"|"None"|||||||||||"21864881"|"228885257"
11|"November"|||"None"|||||||||||"21864881"|"228885264"
10|"October"|||"None"|||||||||||"21864881"|"228885263"
9|"September"|||"None"|||||||||||"21864881"|"228885262"
8|"August"|||"None"|||||||||||"21864881"|"228885261"
7|"July"|||"None"|||||||||||"21864881"|"228885260"
6|"June"|||"None"|||||||||||"21864881"|"228885259"
6|"June"||||||||||||||"21864882"|"228885271"
7|"July"||||||||||||||"21864882"|"228885270"
9|"September"||||||||||||||"21864882"|"228885276"
8|"August"||||||||||||||"21864882"|"228885266"
10|"October"||||||||||||||"21864882"|"228885275"
11|"November"||||||||||||||"21864882"|"228885274"
12|"December"||||||||||||||"21864882"|"228885267"
1|"January"||||||||||||||"21864882"|"228885269"
2|"February"||||||||||||||"21864882"|"228885268"
3|"March"||||||||||||||"21864882"|"228885272"
4|"April"||||||||||||||"21864882"|"228885265"
5|"May"||||||||||||||"21864882"|"228885273"
6|"June"||||||||||||||"21864883"|"228885283"
7|"July"||||||||||||||"21864883"|"228885282"
8|"August"||||||||||||||"21864883"|"228885278"
9|"September"||||||||||||||"21864883"|"228885288"
10|"October"||||||||||||||"21864883"|"228885287"
11|"November"||||||||||||||"21864883"|"228885286"
12|"December"||||||||||||||"21864883"|"228885279"
1|"January"||||||||||||||"21864883"|"228885281"
2|"February"||||||||||||||"21864883"|"228885280"
3|"March"||||||||||||||"21864883"|"228885284"
4|"April"||||||||||||||"21864883"|"228885277"
5|"May"||||||||||||||"21864883"|"228885285"
6|"June"||||||||||||||"21864884"|"228885295"
7|"July"||||||||||||||"21864884"|"228885294"
8|"August"||||||||||||||"21864884"|"228885290"
9|"September"||||||||||||||"21864884"|"228885300"
10|"October"||||||||||||||"21864884"|"228885299"
11|"November"||||||||||||||"21864884"|"228885298"
12|"December"||||||||||||||"21864884"|"228885291"
1|"January"||||||||||||||"21864884"|"228885293"
2|"February"||||||||||||||"21864884"|"228885292"
3|"March"||||||||||||||"21864884"|"228885296"
4|"April"||||||||||||||"21864884"|"228885289"
5|"May"||||||||||||||"21864884"|"228885297"
1|"January"|"None"||"None"|||||||||||"21864904"|"228885533"
5|"May"|"None"||"None"|||||||||||"21864904"|"228885537"
4|"April"|"None"||"None"|||||||||||"21864904"|"228885529"
3|"March"|"None"||"None"|||||||||||"21864904"|"228885536"
2|"February"|"None"||"None"|||||||||||"21864904"|"228885532"
9|"September"|"None"||"None"|||||||||||"21864904"|"228885540"
10|"October"|"None"||"None"|||||||||||"21864904"|"228885539"
11|"November"|"None"||"None"|||||||||||"21864904"|"228885538"
8|"August"|"None"||"None"|||||||||||"21864904"|"228885530"
7|"July"|"None"||"None"|||||||||||"21864904"|"228885534"
6|"June"|"None"||"None"|||||||||||"21864904"|"228885535"
12|"December"|"None"||"None"|||||||||||"21864904"|"228885531"
6|"June"||||||||||||||"21864905"|"228885547"
7|"July"||||||||||||||"21864905"|"228885546"
8|"August"||||||||||||||"21864905"|"228885542"
9|"September"||||||||||||||"21864905"|"228885552"
10|"October"||||||||||||||"21864905"|"228885551"
11|"November"||||||||||||||"21864905"|"228885550"
12|"December"||||||||||||||"21864905"|"228885543"
1|"January"||||||||||||||"21864905"|"228885545"
2|"February"||||||||||||||"21864905"|"228885544"
3|"March"||||||||||||||"21864905"|"228885548"
4|"April"||||||||||||||"21864905"|"228885541"
5|"May"||||||||||||||"21864905"|"228885549"
6|"June"||||||||||||||"21864906"|"228885559"
7|"July"||||||||||||||"21864906"|"228885558"
8|"August"||||||||||||||"21864906"|"228885554"
9|"September"||||||||||||||"21864906"|"228885564"
10|"October"||||||||||||||"21864906"|"228885563"
11|"November"||||||||||||||"21864906"|"228885562"
12|"December"||||||||||||||"21864906"|"228885555"
1|"January"||||||||||||||"21864906"|"228885557"
2|"February"||||||||||||||"21864906"|"228885556"
3|"March"||||||||||||||"21864906"|"228885560"
4|"April"||||||||||||||"21864906"|"228885553"
5|"May"||||||||||||||"21864906"|"228885561"
1|"January"|"None"||"None"|||||||||||"21864896"|"228885437"
5|"May"|"None"||"None"|||||||||||"21864896"|"228885441"
4|"April"|"None"||"None"|||||||||||"21864896"|"228885433"
3|"March"|"None"||"None"|||||||||||"21864896"|"228885440"
2|"February"|"None"||"None"|||||||||||"21864896"|"228885436"
11|"November"|"None"||"None"|||||||||||"21864896"|"228885442"
10|"October"|"None"||"None"|||||||||||"21864896"|"228885443"
9|"September"|"None"||"None"|||||||||||"21864896"|"228885444"
8|"August"|"None"||"None"|||||||||||"21864896"|"228885434"
7|"July"|"None"||"None"|||||||||||"21864896"|"228885438"
6|"June"|"None"||"None"|||||||||||"21864896"|"228885439"
12|"December"|"None"||"None"|||||||||||"21864896"|"228885435"
1|"January"|"None"||"None"|||||||||||"21864897"|"228885449"
5|"May"|"None"||"None"|||||||||||"21864897"|"228885453"
4|"April"|"None"||"None"|||||||||||"21864897"|"228885445"
3|"March"|"None"||"None"|||||||||||"21864897"|"228885452"
2|"February"|"None"||"None"|||||||||||"21864897"|"228885448"
11|"November"|"None"||"None"|||||||||||"21864897"|"228885454"
10|"October"|"None"||"None"|||||||||||"21864897"|"228885455"
9|"September"|"None"||"None"|||||||||||"21864897"|"228885456"
8|"August"|"None"||"None"|||||||||||"21864897"|"228885446"
7|"July"|"None"||"None"|||||||||||"21864897"|"228885450"
6|"June"|"None"||"None"|||||||||||"21864897"|"228885451"
12|"December"|"None"||"None"|||||||||||"21864897"|"228885447"
1|"January"|"None"||"None"|||||||||||"21864898"|"228885461"
5|"May"|"None"||"None"|||||||||||"21864898"|"228885465"
4|"April"|"None"||"None"|||||||||||"21864898"|"228885457"
3|"March"|"None"||"None"|||||||||||"21864898"|"228885464"
2|"February"|"None"||"None"|||||||||||"21864898"|"228885460"
11|"November"|"None"||"None"|||||||||||"21864898"|"228885466"
10|"October"|"None"||"None"|||||||||||"21864898"|"228885467"
9|"September"|"None"||"None"|||||||||||"21864898"|"228885468"
8|"August"|"None"||"None"|||||||||||"21864898"|"228885458"
7|"July"|"None"||"None"|||||||||||"21864898"|"228885462"
6|"June"|"None"||"None"|||||||||||"21864898"|"228885463"
12|"December"|"None"||"None"|||||||||||"21864898"|"228885459"
1|"January"|"None"||"None"|||||||||||"21864907"|"228885569"
5|"May"|"None"||"None"|||||||||||"21864907"|"228885573"
4|"April"|"None"||"None"|||||||||||"21864907"|"228885565"
3|"March"|"None"||"None"|||||||||||"21864907"|"228885572"
2|"February"|"None"||"None"|||||||||||"21864907"|"228885568"
11|"November"|"None"||"None"|||||||||||"21864907"|"228885574"
10|"October"|"None"||"None"|||||||||||"21864907"|"228885575"
9|"September"|"None"||"None"|||||||||||"21864907"|"228885576"
8|"August"|"None"||"None"|||||||||||"21864907"|"228885566"
7|"July"|"None"||"None"|||||||||||"21864907"|"228885570"
6|"June"|"None"||"None"|||||||||||"21864907"|"228885571"
12|"December"|"None"||"None"|||||||||||"21864907"|"228885567"
6|"June"||||||||||||||"21864908"|"228885583"
7|"July"||||||||||||||"21864908"|"228885582"
8|"August"||||||||||||||"21864908"|"228885578"
9|"September"||||||||||||||"21864908"|"228885588"
10|"October"||||||||||||||"21864908"|"228885587"
11|"November"||||||||||||||"21864908"|"228885586"
12|"December"||||||||||||||"21864908"|"228885579"
1|"January"||||||||||||||"21864908"|"228885581"
2|"February"||||||||||||||"21864908"|"228885580"
3|"March"||||||||||||||"21864908"|"228885584"
4|"April"||||||||||||||"21864908"|"228885577"
5|"May"||||||||||||||"21864908"|"228885585"
