12|"December"|||"None"|||||||||||"21852144"|"228747999"
11|"November"|||"None"|||||||||||"21852144"|"228748006"
10|"October"|||"None"|||||||||||"21852144"|"228748007"
9|"September"|||"None"|||||||||||"21852144"|"228748008"
8|"August"|||"None"|||||||||||"21852144"|"228747998"
7|"July"|||"None"|||||||||||"21852144"|"228748002"
6|"June"|||"None"|||||||||||"21852144"|"228748003"
1|"January"|||"None"|||||||||||"21852144"|"228748001"
5|"May"|||"None"|||||||||||"21852144"|"228748005"
3|"March"|||"None"|||||||||||"21852144"|"228748004"
4|"April"|||"None"|||||||||||"21852144"|"228747997"
2|"February"|||"None"|||||||||||"21852144"|"228748000"
2|"February"||||||||||||||"21852143"|"228747988"
3|"March"||||||||||||||"21852143"|"228747992"
4|"April"||||||||||||||"21852143"|"228747985"
5|"May"||||||||||||||"21852143"|"228747993"
1|"January"||||||||||||||"21852143"|"228747989"
6|"June"||||||||||||||"21852143"|"228747991"
7|"July"||||||||||||||"21852143"|"228747990"
8|"August"||||||||||||||"21852143"|"228747986"
9|"September"||||||||||||||"21852143"|"228747996"
10|"October"||||||||||||||"21852143"|"228747995"
11|"November"||||||||||||||"21852143"|"228747994"
12|"December"||||||||||||||"21852143"|"228747987"
12|"December"|"None"||"None"|||||||||||"21852142"|"228747975"
11|"November"|"None"||"None"|||||||||||"21852142"|"228747982"
10|"October"|"None"||"None"|||||||||||"21852142"|"228747983"
9|"September"|"None"||"None"|||||||||||"21852142"|"228747984"
8|"August"|"None"||"None"|||||||||||"21852142"|"228747974"
7|"July"|"None"||"None"|||||||||||"21852142"|"228747978"
6|"June"|"None"||"None"|||||||||||"21852142"|"228747979"
5|"May"|"None"||"None"|||||||||||"21852142"|"228747981"
4|"April"|"None"||"None"|||||||||||"21852142"|"228747973"
3|"March"|"None"||"None"|||||||||||"21852142"|"228747980"
2|"February"|"None"||"None"|||||||||||"21852142"|"228747976"
1|"January"|"None"||"None"|||||||||||"21852142"|"228747977"
12|"December"||||||||||||||"21852141"|"228747966"
1|"January"||||||||||||||"21852141"|"228747968"
2|"February"||||||||||||||"21852141"|"228747967"
3|"March"||||||||||||||"21852141"|"228747971"
4|"April"||||||||||||||"21852141"|"228747964"
5|"May"||||||||||||||"21852141"|"228747972"
6|"June"||||||||||||||"21852141"|"228747970"
7|"July"||||||||||||||"21852141"|"228747969"
8|"August"||||||||||||||"21852141"|"228747965"
9|"September"||||||||||||||"21852141"|"228747963"
10|"October"||||||||||||||"21852141"|"228747962"
11|"November"||||||||||||||"21852141"|"228747961"
12|"December"||||||||||||||"21852140"|"228747951"
1|"January"||||||||||||||"21852140"|"228747953"
2|"February"||||||||||||||"21852140"|"228747952"
3|"March"||||||||||||||"21852140"|"228747956"
4|"April"||||||||||||||"21852140"|"228747949"
5|"May"||||||||||||||"21852140"|"228747957"
