12|"December"|||"None"|||||||||||"23380706"|"244491792"
11|"November"|||"None"|||||||||||"23380706"|"244491799"
10|"October"|||"None"|||||||||||"23380706"|"244491800"
9|"September"|||"None"|||||||||||"23380706"|"244491801"
8|"August"|||"None"|||||||||||"23380706"|"244491791"
7|"July"|||"None"|||||||||||"23380706"|"244491795"
6|"June"|||"None"|||||||||||"23380706"|"244491796"
5|"May"|||"None"|||||||||||"23380706"|"244491798"
4|"April"|||"None"|||||||||||"23380706"|"244491790"
3|"March"|||"None"|||||||||||"23380706"|"244491797"
1|"January"|||"None"|||||||||||"23380706"|"244491794"
2|"February"|||"None"|||||||||||"23380706"|"244491793"
6|"June"|||"None"|||||||||||"23380738"|"244492180"
12|"December"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380738"|"244492179"
5|"May"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380738"|"244492178"
4|"April"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380738"|"244492177"
3|"March"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380738"|"244492176"
1|"January"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380738"|"244492174"
2|"February"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380738"|"244492175"
11|"November"|||"None"|||||||||||"23380738"|"244492185"
10|"October"|||"None"|||||||||||"23380738"|"244492184"
9|"September"|||"None"|||||||||||"23380738"|"244492183"
8|"August"|||"None"|||||||||||"23380738"|"244492182"
7|"July"|||"None"|||||||||||"23380738"|"244492181"
4|"April"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380737"|"244492162"
3|"March"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380737"|"244492169"
1|"January"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380737"|"244492166"
2|"February"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23380737"|"244492165"
12|"December"|||"None"|||||||||||"23380737"|"244492164"
11|"November"|||"None"|||||||||||"23380737"|"244492171"
10|"October"|||"None"|||||||||||"23380737"|"244492172"
9|"September"|||"None"|||||||||||"23380737"|"244492173"
8|"August"|||"None"|||||||||||"23380737"|"244492163"
7|"July"|||"None"|||||||||||"23380737"|"244492167"
6|"June"|||"None"|||||||||||"23380737"|"244492168"
5|"May"|||"None"|||||||||||"23380737"|"244492170"
1|"January"||||||||||||||"23380736"|"244492154"
2|"February"||||||||||||||"23380736"|"244492153"
3|"March"||||||||||||||"23380736"|"244492157"
4|"April"||||||||||||||"23380736"|"244492150"
5|"May"||||||||||||||"23380736"|"244492158"
6|"June"||||||||||||||"23380736"|"244492156"
7|"July"||||||||||||||"23380736"|"244492155"
8|"August"||||||||||||||"23380736"|"244492151"
9|"September"||||||||||||||"23380736"|"244492161"
10|"October"||||||||||||||"23380736"|"244492160"
11|"November"||||||||||||||"23380736"|"244492159"
12|"December"||||||||||||||"23380736"|"244492152"
1|"January"||||||||||||||"23380735"|"244492142"
2|"February"||||||||||||||"23380735"|"244492141"
3|"March"||||||||||||||"23380735"|"244492145"
4|"April"||||||||||||||"23380735"|"244492138"
5|"May"||||||||||||||"23380735"|"244492146"
6|"June"||||||||||||||"23380735"|"244492144"
7|"July"||||||||||||||"23380735"|"244492143"
8|"August"||||||||||||||"23380735"|"244492139"
9|"September"||||||||||||||"23380735"|"244492149"
10|"October"||||||||||||||"23380735"|"244492148"
11|"November"||||||||||||||"23380735"|"244492147"
12|"December"||||||||||||||"23380735"|"244492140"
1|"January"||||||||||||||"23380734"|"244492130"
2|"February"||||||||||||||"23380734"|"244492129"
3|"March"||||||||||||||"23380734"|"244492133"
4|"April"||||||||||||||"23380734"|"244492126"
5|"May"||||||||||||||"23380734"|"244492134"
6|"June"||||||||||||||"23380734"|"244492132"
7|"July"||||||||||||||"23380734"|"244492131"
8|"August"||||||||||||||"23380734"|"244492127"
9|"September"||||||||||||||"23380734"|"244492137"
10|"October"||||||||||||||"23380734"|"244492136"
11|"November"||||||||||||||"23380734"|"244492135"
12|"December"||||||||||||||"23380734"|"244492128"
2|"February"|"None"||"None"|||||||||||"23380733"|"244492117"
1|"January"|"None"||"None"|||||||||||"23380733"|"244492118"
4|"April"|"None"||"None"|||||||||||"23380733"|"244492114"
3|"March"|"None"||"None"|||||||||||"23380733"|"244492121"
