1|"January"|"Rare"||"None"|||||||||||"21857784"|"228807460"
2|"February"|"Rare"||"None"|||||||||||"21857784"|"228807459"
3|"March"|"Rare"||"None"|||||||||||"21857784"|"228807461"
4|"April"|"Rare"||"None"|||||||||||"21857784"|"228807457"
5|"May"|"Rare"||"None"|||||||||||"21857784"|"228807462"
11|"November"|"Rare"||"None"|||||||||||"21857784"|"228807463"
12|"December"|"Rare"||"None"|||||||||||"21857784"|"228807458"
10|"October"|||"None"|||||||||||"21857784"|"228807468"
9|"September"|||"None"|||||||||||"21857784"|"228807467"
8|"August"|||"None"|||||||||||"21857784"|"228807466"
7|"July"|||"None"|||||||||||"21857784"|"228807465"
6|"June"|||"None"|||||||||||"21857784"|"228807464"
1|"January"|"Rare"||"None"|||||||||||"21857785"|"228807474"
2|"February"|"Rare"||"None"|||||||||||"21857785"|"228807475"
3|"March"|"Rare"||"None"|||||||||||"21857785"|"228807476"
4|"April"|"Rare"||"None"|||||||||||"21857785"|"228807477"
5|"May"|"Rare"||"None"|||||||||||"21857785"|"228807478"
11|"November"|"Rare"||"None"|||||||||||"21857785"|"228807479"
12|"December"|"Rare"||"None"|||||||||||"21857785"|"228807480"
10|"October"|||"None"|||||||||||"21857785"|"228807472"
9|"September"|||"None"|||||||||||"21857785"|"228807471"
8|"August"|||"None"|||||||||||"21857785"|"228807470"
7|"July"|||"None"|||||||||||"21857785"|"228807469"
6|"June"|||"None"|||||||||||"21857785"|"228807473"
1|"January"|"Rare"||"None"|||||||||||"21857786"|"228807481"
2|"February"|"Rare"||"None"|||||||||||"21857786"|"228807482"
3|"March"|"Rare"||"None"|||||||||||"21857786"|"228807483"
4|"April"|"Rare"||"None"|||||||||||"21857786"|"228807484"
11|"November"|"Rare"||"None"|||||||||||"21857786"|"228807487"
12|"December"|"Rare"||"None"|||||||||||"21857786"|"228807488"
10|"October"|||"None"|||||||||||"21857786"|"228807492"
9|"September"|||"None"|||||||||||"21857786"|"228807491"
8|"August"|||"None"|||||||||||"21857786"|"228807490"
7|"July"|||"None"|||||||||||"21857786"|"228807489"
6|"June"|||"None"|||||||||||"21857786"|"228807486"
5|"May"|||"None"|||||||||||"21857786"|"228807485"
1|"January"|"Rare"||"None"|||||||||||"21857787"|"228807503"
2|"February"|"Rare"||"None"|||||||||||"21857787"|"228807501"
3|"March"|"Rare"||"None"|||||||||||"21857787"|"228807500"
4|"April"|"Rare"||"None"|||||||||||"21857787"|"228807499"
5|"May"|"Rare"||"None"|||||||||||"21857787"|"228807502"
